あ	あ	Ah	N4
ああ	ああ	like that	N4
間	あいだ	a space	N4
合う	あう	to match	N4
あかちゃん	あかちゃん	baby	N4
上る	あがる	to rise	N4
赤ん坊	あかんぼう	baby	N4
空く	あく	to open, to become empty	N4
あげる	あげる	to give	N4
浅い	あさい	shallow, superficial	N4
味	あじ	flavour	N4
明日	あす・あした	tomorrow	N4
遊び	あそび	play	N4
集る	あつまる	to gather	N4
集める	あつめる	to collect something	N4
謝る	あやまる	to apologize	N4
安心	あんしん	relief	N4
安全	あんぜん	safety	N4
あんな	あんな	such	N4
以下	いか	less than	N4
以外	いがい	with the exception of	N4
医学	いがく	medical science	N4
生きる	いきる	to live	N4
意見	いけん	opinion	N4
石	いし	stone	N4
いじめる	いじめる	to tease	N4
以上	いじょう	more than, this is all	N4
急ぐ	いそぐ	to hurry	N4
致す	いたす	(humble) to do	N4
一度	いちど	once	N4
一生懸命	いっしょうけんめい	with utmost effort	N4
いっぱい	いっぱい	full	N4
糸	いと	thread	N4
以内	いない	within	N4
田舎	いなか	countryside	N4
祈る	いのる	to pray	N4
いらっしゃる	いらっしゃる	(respectful) to be, to come or to go	N4
植える	うえる	to plant, to grow	N4
受付	うけつけ	receipt	N4
受ける	うける	to take a lesson or test	N4
動く	うごく	to move	N4
うち	うち	within	N4
打つ	うつ	to hit	N4
美しい	うつくしい	beautiful	N4
写す	うつす	to copy or photograph	N4
移る	うつる	to move house or transfer	N4
腕	うで	arm	N4
裏	うら	reverse side	N4
売り場	うりば	place where things are sold	N4
うん	うん	(informal) yes	N4
運転手	うんてんしゅ	driver	N4
枝	えだ	branch, twig	N4
選ぶ	えらぶ	to choose	N4
遠慮	えんりょ・する	to be reserved, to be restrained	N4
おいでになる	おいでになる	(respectful) to be	N4
お祝い	おいわい	congratulation	N4
おかげ	おかげ	owing to, thanks to	N4
おかしい	おかしい	strange or funny	N4
億	おく	one hundred million	N4
屋上	おくじょう	rooftop	N4
贈り物	おくりもの	gift	N4
送る	おくる	to send	N4
遅れる	おくれる	to be late	N4
起す	おこす	to wake	N4
行う	おこなう	to do	N4
怒る	おこる	to get angry, to be angry	N4
押し入れ	おしいれ	closet	N4
お嬢さん	おじょうさん	young lady	N4
お宅	おたく	(polite) your house	N4
落る	おちる	to fall or drop	N4
おっしゃる	おっしゃる	(respectful) to say	N4
夫	おっと	husband	N4
おつり	おつり	change from purchase, balance	N4
音	おと	sound, note	N4
落す	おとす	to drop	N4
踊り	おどり	a dance	N4
踊る	おどる	to dance	N4
驚く	おどろく	to be surprised	N4
お祭り	おまつり	festival	N4
お見舞い	おみまい	calling on someone who is ill, enquiry	N4
お土産	おみやげ	souvenir	N4
思い出す	おもいだす	to remember	N4
思う	おもう	to think, to feel	N4
おもちゃ	おもちゃ	toy	N4
表	おもて	the front	N4
親	おや	parents	N4
泳ぎ方	およぎかた	way of swimming	N4
下りる	おりる	to get off, to descend	N4
折る	おる	to break or to fold	N4
お礼	おれい	expression of gratitude	N4
折れる	おれる	to break or be folded	N4
終わり	おわり	the end	N4
海岸	かいがん	coast	N4
会議	かいぎ	meeting	N4
会議室	かいぎしつ	meeting room	N4
会場	かいじょう	assembly hall or meeting place	N4
会話	かいわ	conversation	N4
帰り	かえり	return	N4
変える	かえる	to change	N4
科学	かがく	science	N4
鏡	かがみ	mirror	N4
掛ける	かける	to hang something	N4
飾る	かざる	to decorate	N4
火事	かじ	fire	N4
ガス	ガス	gas	N4
固い	かたい	hard	N4
形	かたち	shape	N4
片付ける	かたづける	to tidy up	N4
課長	かちょう	section manager	N4
勝つ	かつ	to win	N4
家内	かない	housewife	N4
悲しい	かなしい	sad	N4
必ず	かならず	certainly,necessarily	N4
金持ち	かねもち	rich man	N4
お金持ち	おかねもち	rich man	N4
彼女	かのじょ	she,girlfriend	N4
壁	かべ	wall	N4
髪	かみ	hair	N4
噛む	かむ	to bite,to chew	N4
通う	かよう	to commute	N4
彼	かれ	he,boyfriend	N4
乾く	かわく	to get dry	N4
代わり	かわり	substitute,alternate	N4
変わる	かわる	to change	N4
考える	かんがえる	to consider	N4
関係	かんけい	relationship	N4
看護師	かんごし	nurse	N4
簡単	かんたん	simple	N4
気	き	spirit,mood	N4
機会	きかい	opportunity	N4
危険	きけん	danger	N4
聞こえる	きこえる	to be heard	N4
汽車	きしゃ	steam train	N4
技術	ぎじゅつ	art,technology,skill	N4
季節	きせつ	season	N4
規則	きそく	regulations	N4
きっと	きっと	surely	N4
絹	きぬ	silk	N4
厳しい	きびしい	strict	N4
気分	きぶん	mood	N4
決る	きまる	to be decided	N4
君	きみ	(informal) You	N4
決める	きめる	to decide	N4
気持ち	きもち	feeling,mood	N4
着物	きもの	kimono	N4
客	きゃく	guest,customer	N4
急	きゅう	urgent, steep	N4
急行	きゅうこう	speedy, express	N4
教育	きょういく	education	N4
教会	きょうかい	church	N4
競争	きょうそう	competition	N4
興味	きょうみ	an interest	N4
近所	きんじょ	neighbourhood	N4
具合	ぐあい	condition,health	N4
空気	くうき	air,atmosphere	N4
空港	くうこう	airport	N4
草	くさ	grass	N4
首	くび	neck	N4
雲	くも	cloud	N4
比べる	くらべる	to compare	N4
くれる	くれる	to give	N4
暮れる	くれる	to get dark,to come to an end	N4
君	くん	suffix for familiar young male	N4
毛	け	hair or fur	N4
経済	けいざい	finance,economy	N4
警察	けいさつ	police	N4
景色	けしき	scene,landscape	N4
消しゴム	けしゴム	eraser	N4
下宿	げしゅく	lodging	N4
決して	けっして	never	N4
けれど	けれど	however	N4
けれども	けれども	however	N4
原因	げんいん	cause,source	N4
けんか・する	けんか・する	to quarrel	N4
研究	けんきゅう	research	N4
研究室	けんきゅうしつ	study room,laboratory	N4
見物	けんぶつ	sightseeing	N4
子	こ	child	N4
こう	こう	this way	N4
郊外	こうがい	outskirts	N4
講義	こうぎ	lecture	N4
工業	こうぎょう	the manufacturing industry	N4
高校	こうこう	high school	N4
高校生	こうこうせい	high school student	N4
工場	こうじょう	factory,plant,mill,workshop	N4
工場	こうば	factory,plant,mill,workshop	N4
校長	こうちょう	headmaster	N4
交通	こうつう	traffic,transportation	N4
講堂	こうどう	auditorium	N4
高等学校	こうとうがっこう	high school	N4
公務員	こうむいん	civil servant, government worker	N4
国際	こくさい	international	N4
心	こころ	heart, mind, core	N4
御主人	ごしゅじん	(honorable) your husband	N4
故障	こしょう・する	to break-down	N4
ご存じ	ごぞんじ	(respect form ) to know	N4
答	こたえ	response	N4
ごちそう	ごちそう	a feast	N4
小鳥	ことり	small bird	N4
このあいだ	このあいだ	the other day,recently	N4
このごろ	このごろ	these days,nowadays	N4
細かい	こまかい	small, fine	N4
込む	こむ	to include	N4
米	こめ	uncooked rice	N4
ごらんになる	ごらんになる	(respectful) to see	N4
これから	これから	after this	N4
怖い	こわい	frightening	N4
壊す	こわす	to break	N4
壊れる	こわれる	to be broken	N4
今度	こんど	now,next time	N4
今夜	こんや	tonight	N4
最近	さいきん	latest,nowadays	N4
最後	さいご	last,end	N4
最初	さいしょ	beginning,first	N4
坂	さか	slope,hill	N4
探す	さがす	to look for	N4
下る	さがる	to get down,to descend	N4
盛ん	さかん	popularity,prosperous	N4
下げる	さげる	to hang,to lower,to move back	N4
差し上げる	さしあげる	(polite) to give	N4
さっき	さっき	some time ago	N4
寂しい	さびしい	lonely	N4
さ来月	さらいげつ	the month after next	N4
さ来週	さらいしゅう	the week after next	N4
騒ぐ	さわぐ	to make noise,to be excited	N4
触る	さわる	to touch	N4
産業	さんぎょう	industry	N4
残念	ざんねん	disappointment	N4
市	し	city	N4
字	じ	character	N4
試合	しあい	match,game	N4
仕方	しかた	method	N4
試験	しけん	examination	N4
事故	じこ	accident	N4
地震	じしん	earthquake	N4
時代	じだい	era	N4
下着	したぎ	underwear	N4
しっかり	しっかり	firmly,steadily	N4
失敗	しっぱい	failure,mistake	N4
辞典	じてん	dictionary	N4
品物	しなもの	goods	N4
しばらく	しばらく	little while	N4
島	しま	island	N4
市民	しみん	citizen	N4
事務所	じむしょ	office	N4
社会	しゃかい	society,public	N4
社長	しゃちょう	company president	N4
自由	じゆう	freedom	N4
習慣	しゅうかん	custom,manners	N4
住所	じゅうしょ	an address,a residence	N4
柔道	じゅうどう	judo	N4
十分	じゅうぶん	enough	N4
趣味	しゅみ	hobby	N4
紹介	しょうかい	introduction	N4
小学校	しょうがっこう	elementary school	N4
小説	しょうせつ	novel	N4
将来	しょうらい	future,prospects	N4
食料品	しょくりょうひん	groceries	N4
女性	じょせい	woman	N4
知らせる	しらせる	to notify	N4
調べる	しらべる	to investigate	N4
人口	じんこう	population	N4
神社	じんじゃ	Shinto shrine	N4
親切	しんせつ	kindness	N4
新聞社	しんぶんしゃ	newspaper company	N4
水泳	すいえい	swimming	N4
水道	すいどう	water supply	N4
数学	すうがく	mathematics,arithmetic	N4
過ぎる	すぎる	to exceed	N4
凄い	すごい	terrific	N4
進む	すすむ	to make progress	N4
すっかり	すっかり	completely	N4
すっと	すっと	straight,all of a sudden	N4
捨てる	すてる	to throw away	N4
砂	すな	sand	N4
滑る	すべる	to slide,to slip	N4
隅	すみ	corner,nook	N4
済む	すむ	to finish	N4
すり	すり	pickpocket	N4
すると	すると	then	N4
生活	せいかつ・する	to live	N4
生産	せいさん・する	to produce	N4
政治	せいじ	politics,government	N4
西洋	せいよう	western countries	N4
世界	せかい	the world	N4
席	せき	seat	N4
説明	せつめい	explanation	N4
背中	せなか	back of the body	N4
線	せん	line	N4
戦争	せんそう	war	N4
先輩	せんぱい	senior	N4
そう	そう	really	N4
育てる	そだてる	to rear,to bring up	N4
卒業	そつぎょう	graduation	N4
祖父	そふ	grandfather	N4
祖母	そぼ	grandmother	N4
それで	それで	because of that	N4
それに	それに	moreover	N4
それほど	それほど	to that extent	N4
そろそろ	そろそろ	gradually,soon	N4
そんな	そんな	that sort of	N4
そんなに	そんなに	so much,like that	N4
退院	たいいん・する	to leave hospital	N4
大学生	だいがくせい	university student	N4
大事	だいじ	important,valuable,serious matter	N4
大体	だいたい	generally	N4
たいてい	たいてい	usually	N4
大分	だいぶ	greatly	N4
台風	たいふう	typhoon	N4
倒れる	たおれる	to break down	N4
だから	だから	so,therefore	N4
確か	たしか	definite	N4
足す	たす	to add a number	N4
訪ねる	たずねる	to visit	N4
尋ねる	たずねる	to ask	N4
正しい	ただしい	correct	N4
畳	たたみ	Japanese straw mat	N4
立てる	たてる	to stand something up	N4
建てる	たてる	to build	N4
例えば	たとえば	for example	N4
棚	たな	shelves	N4
楽しみ	たのしみ	joy	N4
楽む	たのしむ	to enjoy oneself	N4
たまに	たまに	occasionally	N4
為	ため	in order to	N4
足りる	たりる	to be enough	N4
男性	だんせい	male	N4
暖房	だんぼう	heating	N4
血	ち	blood	N4
チェック・する	チェック・する	to check	N4
力	ちから	strength,power	N4
ちっとも	ちっとも	not at all (used with a negative verb)	N4
ちゃん	ちゃん	suffix for familiar person	N4
注意	ちゅうい	caution	N4
中学校	ちゅうがっこう	junior high school,middle school	N4
注射	ちゅうしゃ	injection	N4
駐車場	ちゅうしゃじょう	parking lot	N4
地理	ちり	geography	N4
捕まえる	つかまえる	to seize	N4
付く	つく	to be attached	N4
漬ける	つける	to soak,to pickle	N4
都合	つごう	circumstances,convenience	N4
伝える	つたえる	to report	N4
続く	つづく	to be continued	N4
続ける	つづける	to continue	N4
包む	つつむ	to wrap	N4
妻	つま	my wife	N4
つもり	つもり	intention	N4
釣る	つる	to fish	N4
丁寧	ていねい	polite	N4
適当	てきとう	suitability	N4
手伝う	てつだう	to assist	N4
手袋	てぶくろ	glove	N4
寺	てら	temple	N4
点	てん	point,dot	N4
店員	てんいん	shop assistant	N4
天気予報	てんきよほう	weather forecast	N4
電灯	でんとう	electric light	N4
電報	でんぽう	telegram	N4
展覧会	てんらんかい	exhibition	N4
都	と	metropolitan	N4
道具	どうぐ	tool,means	N4
とうとう	とうとう	finally, after all	N4
動物園	どうぶつえん	zoo	N4
遠く	とおく	distant	N4
通る	とおる	to go through	N4
特に	とくに	particularly,especially	N4
特別	とくべつ	special	N4
とこや	とこや	barber	N4
途中	とちゅう	on the way	N4
特急	とっきゅう	limited express train (faster than an express train)	N4
届ける	とどける	to send, to deliver, to report	N4
泊まる	とまる	to lodge at	N4
止める	とめる	to stop something	N4
取り替える	とりかえる	to exchange	N4
泥棒	どろぼう	thief	N4
どんどん	どんどん	more and more	N4
直す	なおす	to fix,to repair	N4
直る	なおる	to be fixed,to be repaired	N4
治る	なおる	to be cured,to heal	N4
泣く	なく	to weep	N4
無くなる	なくなる	to disappear,to get lost	N4
亡くなる	なくなる	to die	N4
投げる	なげる	to throw or cast away	N4
なさる	なさる	(respectful) to do	N4
鳴る	なる	to sound	N4
なるべく	なるべく	as much as possible	N4
なるほど	なるほど	now I understand	N4
慣れる	なれる	to grow accustomed to	N4
苦い	にがい	bitter	N4
二階建て	にかいだて	two storied	N4
逃げる	にげる	to escape	N4
日記	にっき	journal	N4
入院	にゅういん・する	to hospitalise, hospitalisation	N4
入学	にゅうがく・する	to enter school or university	N4
似る	にる	to be similar	N4
人形	にんぎょう	doll, figure	N4
盗む	ぬすむ	to steal	N4
塗る	ぬる	to paint, to colour, to plaster	N4
ぬれる	ぬれる	to get wet	N4
ねだん	ねだん	price	N4
熱	ねつ	fever	N4
寝坊	ねぼう	sleeping in late	N4
眠い	ねむい	sleepy	N4
眠る	ねむる	to sleep	N4
残る	のこる	to remain	N4
乗り換える	のりかえる	to change between buses or trains	N4
乗り物	のりもの	vehicle	N4
葉	は	leaf	N4
場合	ばあい	situation	N4
倍	ばい	double	N4
拝見	はいけん・する	(humble) to look at	N4
歯医者	はいしゃ	dentist	N4
運ぶ	はこぶ	to transport	N4
始める	はじめる	to begin	N4
場所	ばしょ	location	N4
はず	はず	it should be so	N4
恥ずかしい	はずかしい	embarrassed	N4
発音	はつおん	pronunciation	N4
はっきり	はっきり	clearly	N4
花見	はなみ	cherry-blossom viewing	N4
林	はやし	woods,forester	N4
払う	はらう	to pay	N4
番組	ばんぐみ	television or radio program	N4
反対	はんたい	opposition	N4
日	ひ	day, sun	N4
火	ひ	fire	N4
冷える	ひえる	to grow cold	N4
光	ひかり	light	N4
光る	ひかる	to shine,to glitter	N4
引き出し	ひきだし	drawer,drawing out	N4
ひきだす	ひきだす	to withdraw	N4
ひげ	ひげ	beard	N4
飛行場	ひこうじょう	airport	N4
久しぶり	ひさしぶり	after a long time	N4
美術館	びじゅつかん	art gallery	N4
非常に	ひじょうに	extremely	N4
引っ越す	ひっこす	to move house	N4
必要	ひつよう	necessary	N4
ひどい	ひどい	awful	N4
開く	ひらく	to open an event	N4
昼間	ひるま	daytime,during the day	N4
昼休み	ひるやすみ	noon break	N4
拾う	ひろう	to pick up,to gather	N4
増える	ふえる	to increase	N4
深い	ふかい	deep	N4
複雑	ふくざつ	complexity,complication	N4
復習	ふくしゅう	revision	N4
部長	ぶちょう	head of a section	N4
普通	ふつう	usually, or a train that stops at every station	N4
ぶどう	ぶどう	grapes	N4
太る	ふとる	to become fat	N4
布団	ふとん	Japanese bedding, futon	N4
舟	ふね	ship	N4
不便	ふべん	inconvenience	N4
踏む	ふむ	to step on	N4
降り出す	ふりだす	to start to rain	N4
文化	ぶんか	culture	N4
文学	ぶんがく	literature	N4
文法	ぶんぽう	grammar	N4
別	べつ	different	N4
変	へん	strange	N4
返事	へんじ	reply	N4
貿易	ぼうえき	trade	N4
法律	ほうりつ	law	N4
僕	ぼく	I (used by males)	N4
星	ほし	star	N4
ほとんど	ほとんど	mostly	N4
ほめる	ほめる	to praise	N4
翻訳	ほんやく	translation	N4
参る	まいる	(humble) to go,to come	N4
負ける	まける	to lose	N4
または	または	or,otherwise	N4
間違える	まちがえる	to make a mistake	N4
間に合う	まにあう	to be in time for	N4
周り	まわり	surroundings	N4
回る	まわる	to go around	N4
漫画	まんが	comic	N4
真中	まんなか	middle	N4
見える	みえる	to be in sight	N4
湖	みずうみ	lake	N4
味噌	みそ	miso, soybean paste	N4
見つかる	みつかる	to be discovered	N4
見つける	みつける	to discover	N4
皆	みな	everybody	N4
港	みなと	harbour	N4
向かう	むかう	to face	N4
迎える	むかえる	to go out to meet	N4
昔	むかし	old times, old days, long ago, formerly	N4
虫	むし	insect	N4
息子	むすこ	(humble) son	N4
娘	むすめ	(humble) daughter	N4
無理	むり	impossible	N4
召し上がる	めしあがる	(polite) to eat	N4
珍しい	めずらしい	rare	N4
申し上げる	もうしあげる	(humble) to say,to tell	N4
申す	もうす	(humble) to be called,to say	N4
もうすぐ	もうすぐ	soon	N4
もし	もし	if	N4
戻る	もどる	to turn back	N4
木綿	もめん	cotton	N4
森	もり	forest	N4
焼く	やく	to bake,to grill	N4
約束	やくそく	promise	N4
役に立つ	やくにたつ	to be helpful	N4
焼ける	やける	to burn,to be roasted	N4
優しい	やさしい	kind	N4
痩せる	やせる	to become thin	N4
やっと	やっと	at last	N4
止む	やむ	to stop	N4
止める	やめる	to stop	N4
柔らかい	やわらかい	soft	N4
湯	ゆ	hot water	N4
指	ゆび	finger	N4
指輪	ゆびわ	a ring	N4
夢	ゆめ	dream	N4
揺れる	ゆれる	to shake,to sway	N4
用	よう	use	N4
用意	ようい	preparation	N4
用事	ようじ	things to do	N4
汚れる	よごれる	to get dirty	N4
予習	よしゅう	preparation for a lesson	N4
予定	よてい	arrangement	N4
予約	よやく	reservation	N4
寄る	よる	to visit	N4
喜ぶ	よろこぶ	to be delighted	N4
理由	りゆう	reason	N4
利用	りよう	utilization	N4
両方	りょうほう	both sides	N4
旅館	りょかん	Japanese hotel	N4
留守	るす	absence	N4
冷房	れいぼう	air conditioning	N4
歴史	れきし	history	N4
連絡	れんらく	contact	N4
沸かす	わかす	to boil,to heat	N4
別れる	わかれる	to separate	N4
沸く	わく	to boil, to grow hot,to get excited	N4
訳	わけ	meaning,reason	N4
忘れ物	わすれもの	lost article	N4
笑う	わらう	to laugh,to smile	N4
割合	わりあい	rate,ratio,percentage	N4
割れる	われる	to break	N4
アクセサリー	アクセサリー	accessory	N4
アジア	アジア	Asia	N4
アナウンサー	アナウンサー	announcer	N4
アフリカ	アフリカ	Africa	N4
アメリカ	アメリカ	America	N4
アルコール	アルコール	alcohol	N4
アルバイト	アルバイト	part-time job	N4
エスカレーター	エスカレーター	escalator	N4
オートバイ	オートバイ	motorcycle	N4
カーテン	カーテン	curtain	N4
ガス	ガス	gas	N4
ガソリン	ガソリン	petrol	N4
ガソリンスタンド	ガソリンスタンド	petrol station	N4
ガラス	ガラス	a glass pane	N4
ケーキ	ケーキ	cake	N4
消しゴム	けしゴム	eraser, rubber	N4
コンサート	コンサート	concert	N4
コンピューター	コンピューター	computer	N4
サラダ	サラダ	salad	N4
サンダル	サンダル	sandal	N4
サンドイッチ	サンドイッチ	sandwich	N4
ジャム	ジャム	jam	N4
スーツ	スーツ	suit	N4
スーツケース	スーツケース	suitcase	N4
スクリーン	スクリーン	screen	N4
ステーキ	ステーキ	steak	N4
ステレオ	ステレオ	stereo	N4
ソフト	ソフト	soft	N4
タイプ	タイプ	type,style	N4
チェック・する	チェック・する	to check	N4
テキスト	テキスト	text,text book	N4
テニス	テニス	tennis	N4
パート	パート	part time	N4
パソコン	パソコン	personal computer	N4
ハンドバッグ	ハンドバッグ	handbag	N4
ピアノ	ピアノ	piano	N4
ビル	ビル	building or bill	N4
ファックス	ファックス	fax	N4
プレゼント	プレゼント	present	N4
ベル	ベル	bell	N4
レジ	レジ	register	N4
レポート	レポート	report	N4
リポート	リポート	report	N4
ワープロ	ワープロ	word processor	N4